LCLid,day,step,predicted_energy_sum,lower_80,upper_80
MAC000153,2014-03-01,1,10.513752578248914,5.4393208470622065,15.588184309435622
MAC000153,2014-03-02,2,16.100598096630332,8.924267921049704,23.27692827221096
MAC000153,2014-03-03,3,21.533906345240485,12.744732767285413,30.323079923195557
MAC000153,2014-03-04,4,21.173921944482494,11.02505848210908,31.322785406855907
MAC000153,2014-03-05,5,21.03283071285297,9.686056414737552,32.37960501096839
MAC000153,2014-03-06,6,21.766609243115806,9.336840767120481,34.196377719111126
MAC000153,2014-03-07,7,20.84605552297067,7.4203711172756766,34.27173992866566
MAC000145,2014-03-01,1,14.500723059324354,9.426291328137648,19.57515479051106
MAC000145,2014-03-02,2,15.459664610460637,8.283334434880011,22.635994786041262
MAC000145,2014-03-03,3,12.797428138218272,4.0082545602632,21.586601716173345
MAC000145,2014-03-04,4,12.820254948108103,2.671391485734688,22.969118410481517
MAC000145,2014-03-05,5,12.764737431697156,1.417963133581738,24.111511729812577
MAC000145,2014-03-06,6,12.475764414843308,0.04599593884798381,24.905532890838632
MAC000145,2014-03-07,7,12.369647381254408,0.0,25.7953317869494
MAC000150,2014-03-01,1,10.580306643087887,5.50587491190118,15.654738374274594
MAC000150,2014-03-02,2,11.466380932689077,4.2900507571084505,18.642711108269705
MAC000150,2014-03-03,3,8.94410082389718,0.15492724594210827,17.733274401852253
MAC000150,2014-03-04,4,8.920184570358517,0.0,19.06904803273193
MAC000150,2014-03-05,5,8.417372242346506,0.0,19.764146540461923
MAC000150,2014-03-06,6,8.935764793053528,0.0,21.365533269048854
MAC000150,2014-03-07,7,8.499480558259807,0.0,21.9251649639548
MAC000147,2014-03-01,1,4.700420860263859,0.0,9.774852591450566
MAC000147,2014-03-02,2,5.324291104254916,0.0,12.500621279835542
MAC000147,2014-03-03,3,5.3034169352398415,0.0,14.092590513194914
MAC000147,2014-03-04,4,5.669670291334352,0.0,15.818533753707767
MAC000147,2014-03-05,5,5.278194047396466,0.0,16.624968345511885
MAC000147,2014-03-06,6,4.722550537784712,0.0,17.152319013780037
MAC000147,2014-03-07,7,4.789833797021535,0.0,18.215518202716527
MAC000148,2014-03-01,1,6.431852241505306,1.3574205103185983,11.506283972692014
MAC000148,2014-03-02,2,6.49455118925726,0.0,13.670881364837886
MAC000148,2014-03-03,3,6.023970036554046,0.0,14.81314361450912
MAC000148,2014-03-04,4,5.9972479930787665,0.0,16.146111455452182
MAC000148,2014-03-05,5,5.951413512744855,0.0,17.298187810860274
MAC000148,2014-03-06,6,5.854744691304251,0.0,18.284513167299576
MAC000148,2014-03-07,7,5.62712410715194,0.0,19.052808512846934
